"tp_med","ttc","metal"
0.31,1.02521295348015,"Molybdenum"
0.32,1.02585138402513,"Molybdenum"
0.33,1.02647337372363,"Molybdenum"
0.34,1.0270784058758,"Molybdenum"
0.35,1.02766596378184,"Molybdenum"
0.36,1.0282355307419,"Molybdenum"
0.37,1.02878659005615,"Molybdenum"
0.38,1.02931862502477,"Molybdenum"
0.39,1.02983111894793,"Molybdenum"
0.4,1.0303235551258,"Molybdenum"
0.41,1.03079541685855,"Molybdenum"
0.42,1.03124618744634,"Molybdenum"
0.43,1.03167535018936,"Molybdenum"
0.44,1.03208238838776,"Molybdenum"
0.45,1.03246678534173,"Molybdenum"
0.46,1.03282802435143,"Molybdenum"
0.47,1.03316558871702,"Molybdenum"
0.48,1.0334789617387,"Molybdenum"
0.49,1.03376762671661,"Molybdenum"
0.5,1.03403106695094,"Molybdenum"
0.51,1.03426876574185,"Molybdenum"
0.52,1.03448020638951,"Molybdenum"
0.53,1.0346648721941,"Molybdenum"
0.54,1.03482224645579,"Molybdenum"
0.55,1.03495181247474,"Molybdenum"
0.56,1.03505305355113,"Molybdenum"
0.57,1.03512545298512,"Molybdenum"
0.58,1.0351684940769,"Molybdenum"
0.59,1.03518166012662,"Molybdenum"
0.6,1.03516443443446,"Molybdenum"
0.61,1.03511630030059,"Molybdenum"
0.62,1.03503674102517,"Molybdenum"
0.63,1.03492523990839,"Molybdenum"
0.64,1.03478128025041,"Molybdenum"
0.65,1.0346043453514,"Molybdenum"
0.66,1.03439391851153,"Molybdenum"
0.67,1.03414948303098,"Molybdenum"
0.68,1.03387052220991,"Molybdenum"
0.69,1.03355651934849,"Molybdenum"
0.7,1.03320695774689,"Molybdenum"
0.71,1.03282132070529,"Molybdenum"
0.72,1.03239909152386,"Molybdenum"
0.73,1.03193975350276,"Molybdenum"
0.74,1.03144278994216,"Molybdenum"
0.75,1.03090768414225,"Molybdenum"
0.76,1.03033391940318,"Molybdenum"
0.77,1.02972097902512,"Molybdenum"
0.78,1.02906834630826,"Molybdenum"
0.79,1.02837550455275,"Molybdenum"
0.8,1.02764193705878,"Molybdenum"
0.81,1.0268671271265,"Molybdenum"
0.82,1.02605055805609,"Molybdenum"
0.83,1.02519171314773,"Molybdenum"
0.84,1.02429007570157,"Molybdenum"
0.85,1.0233451290178,"Molybdenum"
0.86,1.02235635639658,"Molybdenum"
0.87,1.02132324113809,"Molybdenum"
0.88,1.02024526654248,"Molybdenum"
0.89,1.01912191590994,"Molybdenum"
0.9,1.01795267254064,"Molybdenum"
0.91,1.01673701973474,"Molybdenum"
0.92,1.01547444079242,"Molybdenum"
0.93,1.01416441901384,"Molybdenum"
0.94,1.01280643769918,"Molybdenum"
0.95,1.0113999801486,"Molybdenum"
0.96,1.00994452966229,"Molybdenum"
0.97,1.0084395695404,"Molybdenum"
0.98,1.00688458308311,"Molybdenum"
0.99,1.00527905359059,"Molybdenum"
1,1.00362246436301,"Molybdenum"
1.01,1.00191446853785,"Molybdenum"
1.02,1.0001553986018,"Molybdenum"
