"tp_med","ttc","metal"
4.6,2.51234813844393,"Zinc"
4.61,2.51835582525463,"Zinc"
4.62,2.52436631180426,"Zinc"
4.63,2.53037958530092,"Zinc"
4.64,2.53639563295274,"Zinc"
4.65,2.54241444196781,"Zinc"
4.66,2.54843599955425,"Zinc"
4.67,2.55446029292017,"Zinc"
4.68,2.56048730927368,"Zinc"
4.69,2.56651703582288,"Zinc"
4.7,2.57254945977589,"Zinc"
4.71,2.57858454806971,"Zinc"
4.72,2.58462218655683,"Zinc"
4.73,2.59066224081867,"Zinc"
4.74,2.59670457643662,"Zinc"
4.75,2.60274905899208,"Zinc"
4.76,2.60879555406643,"Zinc"
4.77,2.61484392724109,"Zinc"
4.78,2.62089404409745,"Zinc"
4.79,2.6269457702169,"Zinc"
4.8,2.63299897118084,"Zinc"
4.81,2.63905351257067,"Zinc"
4.82,2.64510925996778,"Zinc"
4.83,2.65116607895358,"Zinc"
4.84,2.65722383510946,"Zinc"
4.85,2.66328239401681,"Zinc"
4.86,2.66934162125704,"Zinc"
4.87,2.67540138241154,"Zinc"
4.88,2.6814615430617,"Zinc"
4.89,2.68752196878893,"Zinc"
4.9,2.69358252517463,"Zinc"
4.91,2.69964310208335,"Zinc"
4.92,2.70570367899207,"Zinc"
4.93,2.7117642559008,"Zinc"
4.94,2.71782483280952,"Zinc"
4.95,2.72388540971824,"Zinc"
4.96,2.72994598662696,"Zinc"
4.97,2.73600656353569,"Zinc"
4.98,2.74206714044441,"Zinc"
4.99,2.74812771735313,"Zinc"
5,2.75418829426186,"Zinc"
0,0.998237886189687,"Molybdenum"
0.01,0.997384053657456,"Molybdenum"
0.02,0.996530575500038,"Molybdenum"
0.03,0.995677895152256,"Molybdenum"
0.04,0.994826456048938,"Molybdenum"
0.05,0.993976701624906,"Molybdenum"
0.06,0.993129075314988,"Molybdenum"
0.07,0.992284020554007,"Molybdenum"
0.08,0.991441980776789,"Molybdenum"
0.09,0.99060339941816,"Molybdenum"
0.1,0.989768719912943,"Molybdenum"
0.11,0.988938385695965,"Molybdenum"
0.12,0.988112840202051,"Molybdenum"
0.13,0.987292526866026,"Molybdenum"
0.14,0.986477889122714,"Molybdenum"
0.15,0.985669370406942,"Molybdenum"
0.16,0.984867414153534,"Molybdenum"
0.17,0.984072463797315,"Molybdenum"
0.18,0.98328496277311,"Molybdenum"
0.19,0.982505354515746,"Molybdenum"
0.2,0.981734082460046,"Molybdenum"
0.21,0.980971590040837,"Molybdenum"
0.22,0.980218320692942,"Molybdenum"
0.23,0.979474717851188,"Molybdenum"
0.24,0.978741224950399,"Molybdenum"
0.25,0.978018285425401,"Molybdenum"
0.26,0.977306342711019,"Molybdenum"
0.27,0.976605840242078,"Molybdenum"
0.28,0.975917221453402,"Molybdenum"
0.29,0.975240929779818,"Molybdenum"
0.3,0.974577408656151,"Molybdenum"
0.31,0.973927101517225,"Molybdenum"
0.32,0.973290451797865,"Molybdenum"
0.33,0.972667902932898,"Molybdenum"
0.34,0.972059898357147,"Molybdenum"
0.35,0.971466881505439,"Molybdenum"
0.36,0.970889295812598,"Molybdenum"
0.37,0.97032758471345,"Molybdenum"
0.38,0.969782191642819,"Molybdenum"
0.39,0.969253560035531,"Molybdenum"
0.4,0.968742133326411,"Molybdenum"
0.41,0.968248354950284,"Molybdenum"
0.42,0.967772668341975,"Molybdenum"
0.43,0.96731551693631,"Molybdenum"
0.44,0.966877344168113,"Molybdenum"
0.45,0.96645859347221,"Molybdenum"
0.46,0.966059708283426,"Molybdenum"
0.47,0.965681132036586,"Molybdenum"
0.48,0.965323308166515,"Molybdenum"
0.49,0.964986680108038,"Molybdenum"
0.5,0.964671691295981,"Molybdenum"
0.51,0.964378785165169,"Molybdenum"
0.52,0.964108405150426,"Molybdenum"
0.53,0.963860994686578,"Molybdenum"
0.54,0.963636997208451,"Molybdenum"
0.55,0.963436856150868,"Molybdenum"
0.56,0.963261014948656,"Molybdenum"
0.57,0.96310991703664,"Molybdenum"
0.58,0.962984005849644,"Molybdenum"
0.59,0.962883724822494,"Molybdenum"
0.6,0.962809517390016,"Molybdenum"
0.61,0.962761826987033,"Molybdenum"
0.62,0.962741097048372,"Molybdenum"
0.63,0.962747771008857,"Molybdenum"
0.64,0.962782292303314,"Molybdenum"
0.65,0.962845104366568,"Molybdenum"
0.66,0.962936650633444,"Molybdenum"
0.67,0.963057374538767,"Molybdenum"
0.68,0.963207719517362,"Molybdenum"
0.69,0.963388129004055,"Molybdenum"
0.7,0.96359904643367,"Molybdenum"
0.71,0.963840915241033,"Molybdenum"
0.72,0.964114178860969,"Molybdenum"
0.73,0.964419280728302,"Molybdenum"
0.74,0.964756664277859,"Molybdenum"
0.75,0.965126772944465,"Molybdenum"
0.76,0.965530050162944,"Molybdenum"
0.77,0.965966939368122,"Molybdenum"
0.78,0.966437883994823,"Molybdenum"
0.79,0.966943327477873,"Molybdenum"
0.8,0.967483713252098,"Molybdenum"
0.81,0.968059484752321,"Molybdenum"
0.82,0.968671085413369,"Molybdenum"
0.83,0.969318958670067,"Molybdenum"
0.84,0.97000354795724,"Molybdenum"
0.85,0.970725296709712,"Molybdenum"
0.86,0.97148464836231,"Molybdenum"
0.87,0.972282046349857,"Molybdenum"
0.88,0.973117934107181,"Molybdenum"
0.89,0.973992755069104,"Molybdenum"
0.9,0.974906952670453,"Molybdenum"
0.91,0.975860970346053,"Molybdenum"
0.92,0.976855251530729,"Molybdenum"
0.93,0.977890239659306,"Molybdenum"
0.94,0.97896637816661,"Molybdenum"
0.95,0.980084110487465,"Molybdenum"
0.96,0.981243880056696,"Molybdenum"
0.97,0.98244613030913,"Molybdenum"
0.98,0.98369130467959,"Molybdenum"
0.99,0.984979846602902,"Molybdenum"
1,0.986312199513891,"Molybdenum"
1.01,0.987688806847383,"Molybdenum"
1.02,0.989110112038203,"Molybdenum"
1.03,0.990576558521174,"Molybdenum"
1.04,0.992088589731124,"Molybdenum"
1.05,0.993646649102877,"Molybdenum"
1.06,0.995251180071258,"Molybdenum"
1.07,0.996902626071092,"Molybdenum"
